Salary Range,Counts
"$4,5 a $5,5 millones",95
salario a convenir,662
"$2,5 a $3 millones",60
"$3 a $3,5 millones",67
"$5,5 a $6 millones",87
"$3,5 a $4 millones",79
$8 a $10 millones,31
"$4 a $4,5 millones",92
"$1 a $1,5 millones",17
"$1,5 a $2 millones",29
"$2 a $2,5 millones",57
$6 a $8 millones,87
"$10 a $12,5 millones",12
más de $21 millones,1
"$12,5 a $15 millones",6
menos de $1 millón,3
$15 a $18 millones,5
