City,Counts
bogotá,1035
medellín,160
cali,45
toda colombia,86
manizales,2
ciudad de quebec,2
bucaramanga,6
cartagena,2
bogotá alrededores,11
barranquilla,20
pereira,5
armenia,1
turbaco,1
floridablanca,2
birmingham,1
ibagué,1
funza,1
montería,1
popayán,2
itagui,1
chía,2
cúcuta,1
cota,1
risaralda,1
