ID,Role,Description
1884739731,"
        Analista funcional/ desarrollador
    ","Un lugar para tiTrae tu talento a una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 40.000 profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia.Analista funcional/ DesarrolladorEsta es tu oportunidadBuscamos un profesional con experiencia y visión de futuro para contribuir en la implantación de soluciones y servicios eficientes y eficaces para satisfacer las demandas de nuestros clientes.Como parte esencial de nuestro equipo tendrás la responsabilidad de:•	Investigar, diagnosticar, diseñar, construir y mantener sistemas informáticos.•	Participar en las actividades de análisis, diseño y desarrollo.El puesto requiere:•	Ingeniero de sistemas•	Experiencia de 5 años como Analista funcional.•	Experiencia: 4-5 años en Desarrollo y Mantenimiento de Aplicaciones•	Experiencia en programación/desarrollo (indispensable)Habilidades:•	Liderazgo•	 Resolución de problemas.•	Trabajo en equipo.•	Capacidad de análisis.•	AdaptabilidadOfrecemos:•	Excelente ambiente laboral•	Capacitación constante•	Crecimiento profesional•	Sueldo competitivo•	Horario: - 8:00am - 6:00pm•	Zona para laborar: BarranquillaUna carrera profesional y personal de éxitoEn Indra tendrás una carrera profesional adaptada a tus objetivos personales, con formación continua y en un entorno flexible. Participarás en proyectos internacionales, con equipos multiculturales o locales, según tus preferencias, en un entorno diverso y con igualdad de oportunidades. Disfrutarás de numerosos beneficios sociales y un interesante paquete retributivo, al tiempo que creces en un entorno innovador.El proyecto que buscas está aquí, ¡ven a descubrirlo!"
1884740294,"
        Desarrollador senior as400
    ","Se requiere Ingeniero de sistemas o afines; Experiencia de 4 años en: en desarrollo de software en AS400. Las funciones a realizar son: Desarrollo AS400. Con habilidades en: Dinamismo, Comunicación, Trabajo en equipo"
1884741931,"
        Analista programador-cali
    ","La Universidad Icesi en Cali, abre convocatoria para ANALISTA PROGRAMADOR quien tendrá como misión: analizar, elaborar y mantener soluciones de software existentes y proponer mejoras de acuerdo a las necesidades de la universidad y las solicitudes de los usuarios funcionales, para contribuir al logro de los diferentes objetivos operativos y tecnológicos.Sus principales responsabilidades serán: Realizar actividades de apoyo técnico en los proyectos T.I., para contribuir al desarrollo y cumplimiento de los mismos.Acompañar y asesorar a los usuarios en procesos técnicos.Analizar, diseñar y programar las soluciones de software acorde a las necesidades de los usuarios, para contribuir al logro de los procesos funcionales.Analizar, interpretar y recopilar información necesaria de los requerimientos funcionales y no funcionales, para cumplir las fases del proceso de desarrollo de software.Ejecutar las actividades para la elaboración de las aplicaciones de software cumpliendo con los estándares de calidad definidos por la institución y la oficina de desarrollo.Analizar, diseñar y desarrollar soluciones de software mediante procesos de mantenimiento preventivo, perfectivo, aditivo y correctivo, para garantizar el funcionamiento de las aplicaciones de la universidad.Orientar al personal de soporte indicando las posibles soluciones a las fallas presentadas en el sistema de información.Las otras responsabilidades se informaran al final del proceso.Requisitos:Estudios básicos: Ingeniería en sistemasExperiencia previa: Mínimo 1 año de experiencia profesional.Horario: Lunes a Viernes de 8 am a 12 pm y de 2 pm a 6 pmContrato indefinidoSalario entre: $2.600.000 y $3.500.000 (Dependerá de la experiencia)Beneficios extralegales: beca para posgrado 100%+ días adicionales a vacaciones de ley+ bonificación  *detalles de estos beneficios, los explicaremos en el proceso de selección"
1884723532,"
        Analista desarrollador senior  - fullstack
    ","Importante compañía Colombiana  requiere profesional en ingeniería de sistemas, informática o afines,  con especialización o certificados en  Software, desarrollo o afines.Conocimientos en : Desarrollo FullStackExperiencia mínima: 3 añosContrato Indefinido, con salario básico y beneficios extralegales."
1884726180,"
        Desarrollador iib bus
    ","Rol:Desarrolladores IIB BUSRequisitos:Profesional Ingeniería de Sistemas o carreras afines, 2 años experiencia en API REST, Message Bróker y MQHerramientas:•	API REST•	Message•	Bróker y MQCondiciones Laborales:•	Lugar de trabajo: 100% remoto•	Tipo de contrato: Indefinido•	Horario: Oficina•	Rango Salario:  A convenir flexibilizado 70/30"
1884727892,"
        Desarrollador ios bilingüe remoto
    ","Importante compañía requiere para su equipo de trabajo estudiantes de últimos semestres o profesionales en ingeniería de sistemas, telecomunicaciones, electrónica o carreras afines. Experiencia mínima de 4 años en desarrollo e implementación de aplicaciones móviles en IOS. Indispensable experiencia con todo el ciclo de vida del desarrollo de software (SDLC). Dominio de inglés avanzado.Salario negociable de acuerdo a experiencia laboral entre $8´000.000 a $12´000.000.Se labora de lunes a viernes horarios flexibles. Labor 100% remota, pueden estar radicados en cualquier ciudad."
1884727792,"
        Desarrollador ios remoto bilingue
    ","Nos encontramos en la búsqueda de estudiantes de últimos semestres o profesionales en ingeniería de sistemas, telecomunicaciones, electrónica o carreras afines.Deben contar con experiencia mínima de 4 años en Desarrollo en iOS. Experiencia con todo el ciclo de vida del desarrollo de software, Familiaridad con los principios de diseño de la interfaz de usuario de iOSSalario negociable Max $12.000.000 de acuerdo a experienciaLabor 100% remota, Lunes a Viernes-  el candidato puede estar ubicado en cualquier parte del pais."
1884735262,"
        Lider de desarrollo - proyect manager
    ","Importante empresa del sector Turismo requiere para su equipo de trabajo personas para el cargo LIDER DE DESARROLLO – PROYECT MANAGER.Debe ser profesional en áreas de tecnología, debe tener mínimo 4 años de experiencia en cargos relacionados con conocimiento en metodologías de desarrollo de sistemas (ágiles, no ágiles), Conocimiento de Scrum/UML/TDD/IC, diseño estructurado de sistemas, Proceso Unificado de Desarrollo de Software, Manejo de lenguajes de programación orientados a las necesidades de los proyectos, Conocimientos de ambientes de desarrollo, Conocimiento de análisis y diseño de bases de datos, Actividades de Liderazgo (Team Building) / Project Management, Disen~o Estructurado de Sistemas, Proceso Unificado de Desarrollo de Software, Manejo de lenguajes de programación orientado a desarrollo WEB, Conocimientos de ambientes de desarrollo en la nube y relacionados.Rango salarial: $ 7.000.000 - $ 8.000.000.Horario: Lunes a Viernes 8 am a 6 pm / dos horas de almuerzo / Modalidad Teletrabajo (los aspirantes pueden vivir en Bogotá o Medellín)."
1884726279,"
        Desarrollador ios semi senior
    ","Nos encontramos en la búsqueda de desarrolladores IOS para laborar con el sector bancario.Si tienes experiencia en..Desarrollo IOS de tres años, conoces y manejas los principios de diseño de interfaces, interacción con APIs REST.Te estamos buscando, ¡Aplica Ahora!"
1884734434,"
        Desarrollador de integracion ibm
    ","Profesional en ingeniería de sistemas, electrónica, telemática o carreras afines, experiencia mínima de 3 años en desarrollo de servicios de integración con el bus de servicios de IBM, conocimientos en arquitectura orientada a servicios de SOA, datapower, IBMwebsphere MQ, API connect, Web service Soap, JAVA"
1884730545,"
        Desarrollador de integración
    ","Buscamos para nuestro equipo de trabajo Desarrollador de Integración, profesional en Ingeniería de Sistemas o carreras  afines con experiencia de 2 años en Desarrollo SOA, Desarrollo BUS 10, Api conect, Arquitectura de servicios, Creación y consumo de servicios REST y SOAP"
1884730754,"
        Arquitecto desarrollador - medellin
    ","Grupo emi requiere Arquitecto Desarrollador para orientar el área de Desarrollo de IT en la alineación de la tecnología con la estrategia del negocio y sus objetivos; entendiendo las necesidades de la organización, y creando enfoques arquitectónicos para el diseño y la implementación de software. Además Guiar al equipo de desarrollo como soporte de la construcción del procesos de análisis, diseño de soluciones para aplicaciones e integraciones, y crear programas y sistemas eficientes que satisfagan las necesidades de los usuarios.Formacion: Graduado de carreras de ingenierías o Tecnólogo en carreras de informática y desarrollo de software.Experiencia: Tres (3) años en diseño y desarrollo de una visión unificada para las funciones y características del software que permitan soluciones de TI de alta calidadContrato directo con la compañíaHorario: L-V 7:30 - 6 PMSalario: $ 4.683.000"
1884736755,"
        Desarrollador semi - senior as400
    ","Se requiere Ingeniero de sistemas o afines, Experiencia de 2 años en: desarrollo de software en AS400.Las funciones a realizar son: Desarrollo AS400. Con habilidades en: Dinamismo, Comunicación, Trabajo en equipo."
1884740287,"
        Desarrollador semi - senior as400
    ","Se requiere Ingeniero de sistemas o afines, Experiencia de 2 años en: desarrollo de software en AS400.Las funciones a realizar son: Desarrollo AS400. Con habilidades en: Dinamismo, Comunicación, Trabajo en equipo."
1884730044,"
        Desarrollador semi - senior as400
    ","Se requiere Ingeniero de sistemas o afines, Experiencia de 2 años en: desarrollo de software en AS400.Las funciones a realizar son: Desarrollo AS400. Con habilidades en: Dinamismo, Comunicación, Trabajo en equipo."
1884742596,"
        Desarrollador rpa
    ","Fiduciaria de Occidente requiere cubrir el cargo de Desarrollador RPA para la Dirección de Integración en la ciudad de Bogotá, el cual tiene como objetivo evaluar y ejecutar el desarrollo de soluciones en automatización de procesos a través de herramientas RPA que impacten en las variables estratégicas del programa RPA, así como dar soporte sobre su funcionamiento y desarrollo.Requisitos para aplicar: Profesional en Ingeniería de Sistemas, Software o afines, acreditar experiencia laboral profesional mínima de un (1) año en el desarrollo de RPA en la herramienta Automation Anywhere, con habilidad en el análisis de procesos y manejo de herramientas tecnológicas. Deseables conocimientos en access. Deseable certificación en la herramienta Automation Anywhere. Nivel de inglés intermedio."
1884618919,"
        Desarrollador wso2
    ","Se requiere profesinal en Ingeniería Eléctrica, Ingeniería Electrónica, Ingeniería de Telecomunicaciones, Ingeniería Telemática, Ingeniería de Sistemas. 2 añoS de experiencia en el rol de Analista o Desarrollador de software, preferiblemente conocimientos en desarrollo de aplicaciones Web o integración de aplicaciones. Conocimientos en SO Linux,Conocimientos en SO Linux. Deseable 'conocimientos en desarrollo de aplicaciones Web o integración de aplicaciones. , Deseable desarrollo de Servicios Web o APIs. Conocimientos en HTTP, SOAP, XML, XSD y XSLT.software de código abierto con conocimientos en WSO2 API Manager"
1884734536,"
        Desarrollador  rpa req#63850
    ","Descripción del cargo: Responsable de definir e implementar soluciones de automatización en los diferentes productos según las buenas prácticas, buscando un diseño acorde con las eficiencias esperadas por la organización y apalancado la estrategia que defina con el equipo de trabajo.Requisitos mínimos: Profesional en Ingeniería de Sistemas, Informática, de Software o carreras afines. Certificación en plataforma RPA. Experiencia de mínimo dos (2) años en desarrollo de aplicaciones y seis (6) meses en automatización de procesos en plataformas RPA con herramienta UiPath o Macrocreator y automatización en plataformas blue prism.Salario: $4.301.411,00.Tipo de contrato: Término indefinido."
1884736544,"
        Desarrollador azure devops
    ","Importante empresa de software, requiere para su equipo de trabajo ingeniero de sistemas, ingeniero electrónico  o afines, con experiencia mínimo de 3 años, , como ingeniero  devops en entornos azure, con conocimientos en Azure DevOps (o TFS), Jenkins, Git, Contenedores Docker, CI/CD, Sonar, infraestructura como código y metodologías ágiles, Microsoft Azure.Deseable persona con certificación devops y Certificado Azure Administrator Asociate o Azure Solution Architect Expert"
